doi	issue	sample_size_category	full_text_available	nhst_used	nhst_source	ns_as_evidence	ns_source	title
10.1038/s41586-025-09853-8	8096	replication_standard	True	True	full_text	False	none	An RNA splicing system that excises DNA transposons from animal mRNAs
10.1038/s41586-025-09874-3	8096	resource_constraint	True	False	none	False	none	Soft biodegradable implants for long-distance and wide-angle sensing
10.1038/s41586-025-09821-2	8097	replication_standard	True	True	full_text	True	full_text	Mutations in mitochondrial ferredoxin FDX2 suppress frataxin deficiency
10.1038/s41586-025-09770-w	8098	effect_size_estimate	True	True	full_text	False	none	Astrocyte CCN1 stabilizes neural circuits in the adult brain
10.1038/s41586-025-09809-y	8099	replication_standard	True	True	full_text	True	full_text	Viral RNA blocks circularization to evade host codon usage control
10.1038/s41586-025-09834-x	8099	replication_standard	True	True	full_text	False	none	A direct role for a mitochondrial targeting sequence in signalling stress
10.1038/s41586-025-09836-9	8099	effect_size_estimate	True	True	full_text	True	full_text	Sterilization and contraception increase lifespan across vertebrates
10.1038/s41586-025-09852-9	8099	replication_standard	True	True	full_text	False	none	RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity
10.1038/s41586-025-09898-9	8099	resource_constraint	True	True	full_text	False	none	Nutrient requirements of organ-specific metastasis in breast cancer
10.1038/s41586-025-09825-y	8100	resource_constraint	True	True	full_text	False	none	Uncovering the role of LINE-1 in the evolution of lung adenocarcinoma
10.1038/s41586-025-09828-9	8100	na_or_blank	True	True	full_text	False	none	Agonists for cytosolic bacterial receptor ALPK1 induce antitumour immunity
10.1038/s41586-025-09829-8	8100	replication_standard	True	True	full_text	False	none	Human gut M cells resemble dendritic cells and present gluten antigen
10.1038/s41586-025-09929-5	8100	resource_constraint	True	True	full_text	False	none	Correlates of HIV-1 control after combination immunotherapy
10.1038/s41586-025-09932-w	8100	resource_constraint	True	True	full_text	False	none	CD8+ T cell stemness precedes post-intervention control of HIV viraemia
10.1038/s41586-025-09824-z	8101	effect_size_estimate	True	True	full_text	False	none	Erythropoietin receptor on cDC1s dictates immune tolerance
10.1038/s41586-025-09866-3	8101	resource_constraint	True	True	full_text	False	none	Causal modelling of gene effects from regulators to programs to traits
10.1038/s41586-025-09884-1	8101	effect_size_estimate	True	True	full_text	False	none	Human assembloids recapitulate periportal liver tissue in vitro
